"risultato del tiro";"corazza di piastre";"corazza di maglie";"cuoio rinforzato";"cuoio grezzo";"nessuna armatura";"note"
"TI 01-02";"fallimento";"fallimento";"fallimento";"fallimento";"fallimento";""
"03-45";"0";"0";"0";"0";"0";""
"46-50";"0";"0";"0";"1";"1";""
"51-55";"1";"0";"1";"1";"2";""
"56-60";"1";"1";"1";"2";"4";""
"61-65";"2";"1";"2";"3";"5";""
"66-70";"2";"2";"3";"4";"6T";""
"71-75";"3";"3";"4";"5";"8T";""
"76-80";"4";"4";"5";"6T";"9T";""
"81-85";"5";"5";"6T";"7T";"10T";"Risultati Massimi con Attacchi Minuscoli"
"86-90";"6";"6T";"7T";"9A";"10A";""
"91-95";"7T";"7T";"8A";"10A";"12B";""
"96-100";"8A";"8A";"9A";"11B";"14B";""
"101-105";"9A";"10B";"11B";"13B";"15B";"Risultati Massimi con Attacchi Piccoli"
"106-110";"10A";"11B";"12B";"14C";"16C";""
"111-115";"11B";"12C";"13C";"15C";"17D";""
"116-120";"12B";"13C";"14C";"16D";"18D";"Risultati Massimi con Attacchi Medi"
"121-125";"13C";"14D";"15D";"17D";"19E";""
"126-130";"14C";"15D";"16D";"18D";"20E";""
"131-135";"15D";"16D";"17D";"19E";"21E";"Risultati Massimi con Attacchi Grandi "
"136-140";"16D";"17E";"18E";"21E";"22E";""
"141-145";"17E";"18E";"19E";"22E";"23E";""
"146-150";"18E";"19E";"20E";"23E";"24E";"Risultati Massimi con Attacchi Enormi"
