"risultato del tiro";"corazza di piastre";"corazza di maglie";"cuoio rinforzato";"cuoio grezzo";"nessuna armatura";"note"
"TI 01-02";"fallimento";"fallimento";"fallimento";"fallimento";"fallimento";""
"03-45";"0";"0";"0";"0";"0";""
"46-50";"0";"0";"1";"1";"1";""
"51-55";"1";"0";"1";"1";"1";""
"56-60";"2";"1";"2";"2";"2";""
"61-65";"3";"2";"2";"2";"3";""
"66-70";"3T";"3";"3";"3";"4";""
"71-75";"4A";"3T";"4";"4";"5";""
"76-80";"5A";"4T";"5T";"5T";"6";""
"81-85";"6A";"5A";"6A";"6T";"7";"Risultati Massimi con Attacchi Minuscoli"
"86-90";"7A";"6A";"7A";"7T";"8T";""
"91-95";"8A";"7A";"8A";"8A";"9T";""
"96-100";"9A";"8A";"9A";"9A";"10A";""
"101-105";"9B";"9A";"10A";"10A";"11A";"Risultati Massimi con Attacchi Piccoli"
"106-110";"10B";"10B";"10B";"11B";"12A";""
"111-115";"11C";"11C";"11B";"12B";"13A";""
"116-120";"12C";"12C";"12C";"13C";"14B";"Risultati Massimi con Attacchi Medi"
"121-125";"12D";"13C";"13C";"14C";"14C";""
"126-130";"13D";"14D";"14D";"15D";"16D";""
"131-135";"14D";"15D";"15D";"16D";"17D";"Risultati Massimi con Attacchi Grandi "
"136-140";"15E";"16D";"16D";"16E";"18E";""
"141-145";"16E";"17E";"17E";"18E";"19E";""
"146-150";"17E";"18E";"18E";"19E";"20E";"Risultati Massimi con Attacchi Enormi"
