"Risultato dei Dadi";"Essenza Generale";"Essenza Armatura di metallo";"Essenza Armatura di cuoio";"Flusso Generale";"Flusso Armatura di metallo";"Flusso Armatura di cuoio";"Mentalismo Generale";"Mentalismo Armatura di metallo";"Mentalismo Armatura di cuoio"
"TI 01-02";"F";"F";"F";"F";"F";"F";"F";"F";"F"
"46085";"F";"F";"F";"F";"F";"F";"F";"F";"F"
"46150";"+70";"F";"F";"F";"F";"F";"F";"F";"F"
"46277";"+65";"F";"F";"F";"F";"F";"F";"F";"F"
"13-16";"+60";"F";"+45";"F";"F";"F";"+45";"F";"F"
"17-20";"+50";"+45";"+40";"F";"+45";"F";"+40";"F";"F"
"21-24";"+45";"+40";"+35";"F";"+40";"F";"+35";"F";"F"
"25-28";"+35";"+35";"+30";"+45";"+35";"+45";"+30";"+45";"+30"
"29-32";"+30";"+30";"+25";"+40";"+30";"+35";"+25";"+40";"+25"
"33-36";"+20";"+25";"+20";"+35";"+25";"+30";"+20";"+35";"+20"
"37-40";"+15";"+20";"+15";"+30";"+20";"+25";"+15";"+30";"+15"
"41-44";"+5";"+15";"+10";"+25";"+15";"+20";"+10";"+25";"+10"
"45-48";"0";"+10";"+5";"+20";"+10";"+15";"+5";"+20";"+5"
"49-52";"0";"+5";"0";"+15";"+5";"+10";"0";"+15";"0"
"53-56";"-5";"0";"0";"+10";"0";"+5";"0";"+10";"0"
"57-60";"-10";"0";"-5";"+5";"0";"0";"-5";"+5";"-5"
"61-64";"-15";"-5";"-5";"0";"-5";"0";"-5";"0";"-5"
"65-68";"-20";"-5";"-10";"0";"-5";"-5";"-10";"0";"-10"
"69-72";"-25";"-10";"-15";"-5";"-10";"-5";"-15";"-5";"-15"
"73-76";"-30";"-25";"-20";"-10";"-15";"-10";"-20";"-10";"-20"
"77-80";"-35";"-30";"-25";"-15";"-20";"-15";"-25";"-15";"-25"
"81-84";"-40";"-35";"-30";"-20";"-25";"-20";"-30";"-20";"-30"
"85-88";"-45";"-40";"-35";"-25";"-30";"-25";"-35";"-25";"-35"
"89-92";"-50";"-45";"-40";"-30";"-35";"-30";"-40";"-30";"-40"
"93-95";"-55";"-50";"-45";"-35";"-40";"-35";"-45";"-35";"-45"
"TI 96-97";"-75";"-65";"-65";"-55";"-60";"-55";"-65";"-55";"-65"
"TI 98-99";"-100";"-85";"-90";"-80";"-85";"-80";"-90";"-80";"-90"
"TI 100";"-125";"-110";"-115";"-105";"-110";"-105";"-115";"-105";"-115"
