punteggio,bonus,punti magia
102,35,4
101,30,3
100,25,3
99,20,2
98,20,2
97,15,2
96,15,2
95,15,2
94,10,1
93,10,1
92,10,1
91,10,1
90,10,1
89,5,1
88,5,1
87,5,1
86,5,1
85,5,1
84,5,1
83,5,1
82,5,1
81,5,1
80,5,1
79,5,1
78,5,1
77,5,1
76,5,1
75,5,1
74,0,0
73,0,0
72,0,0
71,0,0
70,0,0
69,0,0
68,0,0
67,0,0
66,0,0
65,0,0
64,0,0
63,0,0
62,0,0
61,0,0
60,0,0
59,0,0
58,0,0
57,0,0
56,0,0
55,0,0
54,0,0
53,0,0
52,0,0
51,0,0
50,0,0
49,0,0
48,0,0
47,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,-5,0
23,-5,0
22,-5,0
21,-5,0
20,-5,0
19,-5,0
18,-5,0
17,-5,0
16,-5,0
15,-5,0
14,-5,0
13,-5,0
12,-5,0
11,-5,0
10,-5,0
9,-10,0
8,-10,0
7,-10,0
6,-10,0
5,-10,0
4,-15,0
3,-15,0
2,-20,0
1,-25,0
