abilità,caratteristica
Movimento e Manovra Nessuna armatura,AG
Movimento e Manovra Cuoio grezzo,AG
Movimento e Manovra Cuoio rinforzato,AG
Movimento e Manovra Corazza di maglia,FR
Movimento e Manovra Corazza di piastre,FR
Bonus Offensivo in mischia ,FR
Bonus Offensivo armi da lancio e da tiro ,AG
Arrampicarsi ,AG
Cavalcare ,IT
Nuotare ,AG
Seguire tracce ,IN
Cogliere alle spalle ,PR
Muoversi silenziosamente/Nascondersi ,PR
Scassinare serrature ,IN
Disattivare trappole ,IT
Lettura rune ,IN
Uso di oggetti magici ,IT
Incantesimi diretti ,AG
Percezione ,IT
Leadership e Influenza ,PR
Resistenza Fisica ,CO
Bonus difensivo ,AG
Tiro Resistenza all'Essenza ,IN
Tiro Resistenza al Flusso ,IT
Tiro Resistenza al Veleno ,CO
Tiro Resistenza alle Malattie ,CO
Tiro Resistenza al Caldo ,CO
Tiro Resistenza al Freddo ,CO
