Tiro Aperto,1. Banale,2. Facile,3. Lieve,4. Media,5. Difficile,6. Molto difficile,7. difficilissima,8. Folle,9. Assurda
-151,F,F,F,F,F,F,F,F,F
-150,10,F,F,F,F,F,F,F,F
-149,10,F,F,F,F,F,F,F,F
-148,10,F,F,F,F,F,F,F,F
-147,10,F,F,F,F,F,F,F,F
-146,10,F,F,F,F,F,F,F,F
-145,10,F,F,F,F,F,F,F,F
-144,10,F,F,F,F,F,F,F,F
-143,10,F,F,F,F,F,F,F,F
-142,10,F,F,F,F,F,F,F,F
-141,10,F,F,F,F,F,F,F,F
-140,10,F,F,F,F,F,F,F,F
-139,10,F,F,F,F,F,F,F,F
-138,10,F,F,F,F,F,F,F,F
-137,10,F,F,F,F,F,F,F,F
-136,10,F,F,F,F,F,F,F,F
-135,10,F,F,F,F,F,F,F,F
-134,10,F,F,F,F,F,F,F,F
-133,10,F,F,F,F,F,F,F,F
-132,10,F,F,F,F,F,F,F,F
-131,10,F,F,F,F,F,F,F,F
-130,10,F,F,F,F,F,F,F,F
-129,10,F,F,F,F,F,F,F,F
-128,10,F,F,F,F,F,F,F,F
-127,10,F,F,F,F,F,F,F,F
-126,10,F,F,F,F,F,F,F,F
-125,10,F,F,F,F,F,F,F,F
-124,10,F,F,F,F,F,F,F,F
-123,10,F,F,F,F,F,F,F,F
-122,10,F,F,F,F,F,F,F,F
-121,10,F,F,F,F,F,F,F,F
-120,10,F,F,F,F,F,F,F,F
-119,10,F,F,F,F,F,F,F,F
-118,10,F,F,F,F,F,F,F,F
-117,10,F,F,F,F,F,F,F,F
-116,10,F,F,F,F,F,F,F,F
-115,10,F,F,F,F,F,F,F,F
-114,10,F,F,F,F,F,F,F,F
-113,10,F,F,F,F,F,F,F,F
-112,10,F,F,F,F,F,F,F,F
-111,10,F,F,F,F,F,F,F,F
-110,10,F,F,F,F,F,F,F,F
-109,10,F,F,F,F,F,F,F,F
-108,10,F,F,F,F,F,F,F,F
-107,10,F,F,F,F,F,F,F,F
-106,10,F,F,F,F,F,F,F,F
-105,10,F,F,F,F,F,F,F,F
-104,10,F,F,F,F,F,F,F,F
-103,10,F,F,F,F,F,F,F,F
-102,10,F,F,F,F,F,F,F,F
-101,10,F,F,F,F,F,F,F,F
-100,30,10,F,F,F,F,F,F,F
-99,30,10,F,F,F,F,F,F,F
-98,30,10,F,F,F,F,F,F,F
-97,30,10,F,F,F,F,F,F,F
-96,30,10,F,F,F,F,F,F,F
-95,30,10,F,F,F,F,F,F,F
-94,30,10,F,F,F,F,F,F,F
-93,30,10,F,F,F,F,F,F,F
-92,30,10,F,F,F,F,F,F,F
-91,30,10,F,F,F,F,F,F,F
-90,30,10,F,F,F,F,F,F,F
-89,30,10,F,F,F,F,F,F,F
-88,30,10,F,F,F,F,F,F,F
-87,30,10,F,F,F,F,F,F,F
-86,30,10,F,F,F,F,F,F,F
-85,30,10,F,F,F,F,F,F,F
-84,30,10,F,F,F,F,F,F,F
-83,30,10,F,F,F,F,F,F,F
-82,30,10,F,F,F,F,F,F,F
-81,30,10,F,F,F,F,F,F,F
-80,30,10,F,F,F,F,F,F,F
-79,30,10,F,F,F,F,F,F,F
-78,30,10,F,F,F,F,F,F,F
-77,30,10,F,F,F,F,F,F,F
-76,30,10,F,F,F,F,F,F,F
-75,30,10,F,F,F,F,F,F,F
-74,30,10,F,F,F,F,F,F,F
-73,30,10,F,F,F,F,F,F,F
-72,30,10,F,F,F,F,F,F,F
-71,30,10,F,F,F,F,F,F,F
-70,30,10,F,F,F,F,F,F,F
-69,30,10,F,F,F,F,F,F,F
-68,30,10,F,F,F,F,F,F,F
-67,30,10,F,F,F,F,F,F,F
-66,30,10,F,F,F,F,F,F,F
-65,30,10,F,F,F,F,F,F,F
