"Categoria";"Nome";"Livello";"quantita";"velocità movimento";"VM_movimento_base";"VM_bonus_MM";"velocità_attacco";"VA_bonus_inziativa";"punti_ferita";"tipo_armatura";"bonus_difensivo";"Attacco_uno";"Attacco_uno_BO";"Attacco_due";"Attacco_due_BO";"attacco_speciale";"Dimensioni_animale";"critico_animale";"Note"
"Volatili";"Aquila di mare";"5";"46027";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"65";"nessuna armatura";"45";"(AR) Artigli/Unghie";"65";"(CH) Chele/Becco";"50";"";"medio";"normale";"Aggressivo, feroce"
"Volatili";"Aquila rossa";"6";"46027";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"75";"nessuna armatura";"40";"(AR) Artigli/Unghie";"70";"(CH) Chele/Becco";"45";"";"grande";"normale";"Aggressivo"
"Volatili";"Aquila di Vereut";"3";"46027";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"30";"nessuna armatura";"35";"(AR) Artigli/Unghie";"45";"(CH) Chele/Becco";"35";"";"medio";"normale";"Aggressivo"
"Volatili";"Averla delle tombe";"1";"46027";"(VC) Molto veloce";"37,5m";"+40";"(SC) Saettante";"+80";"5";"nessuna armatura";"60";"(MO) Morso";"30";"(MI) Piccoli Animali";"40";"";"piccolissimo";"normale";"Veleno nervoso lv5"
"Volatili";"Cigno Nero";"3";"1-50";"(MV) Med. veloce";"22,5m";"+20";"(LE) Lento";"-20";"35";"nessuna armatura";"20";"(TE) Testa/Cornata";"20";"(CH) Chele/Becco";"25";"";"medio";"normale";"Passivo"
"Volatili";"Cigno pezzato";"1";"2-40";"(MV) Med. veloce";"22,5m";"+20";"(LE) Lento";"-20";"35";"nessuna armatura";"20";"(TE) Testa/Cornata";"40";"(CH) Chele/Becco";"30";"";"medio";"normale";"Molto intelligente"
"Volatili";"Cornacchia/Gazza";"1";"5-50";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"20";"nessuna armatura";"55";"(CH) Chele/Becco";"10";"(AR) Artigli/Unghie";"10";"";"piccolo";"normale";"Attratto da cibo e oggetti"
"Volatili";"Corvo dalle ali verdi";"1";"2-40";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"15";"nessuna armatura";"55";"(CH) Chele/Becco";"10";"(AR) Artigli/Unghie";"15";"";"piccolo";"normale";"Messaggero"
"Volatili";"Corvo imperiale";"4";"46052";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"20";"nessuna armatura";"50";"(AR) Artigli/Unghie";"50";"(AR) Artigli/Unghie";"25";"";"piccolo";"normale";"Normale, intelligente"
"Volatili";"Crebain";"3";"46111";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"25";"nessuna armatura";"50";"(CH) Chele/Becco";"20";"(AR) Artigli/Unghie";"20";"";"piccolo";"normale";"Spia, malvagio"
"Volatili";"Fagiano verde";"1";"46027";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"15";"nessuna armatura";"40";"(TE) Testa/Cornata";"30";"(CH) Chele/Becco";"20";"";"piccolo";"normale";"Normale"
"Volatili";"Falco Echo";"3";"46024";"(VC) Molto veloce";"37,5m";"+40";"(SC) Saettante";"+80";"27";"nessuna armatura";"65";"(AR) Artigli/Unghie";"50";"(CH) Chele/Becco";"40";"";"medio";"normale";"Opportunista"
"Volatili";"Folaga";"1";"1-50";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"15";"nessuna armatura";"50";"(CH) Chele/Becco";"30";"";"";"";"piccolo";"normale";"Normale"
