"abilita";"professione";"lvl1";"lvl2";"lvl3";"lvl4";"lvl5";"lvl6";"lvl7";"lvl8";"lvl9";"lvl10";"lvl10"
"Nessuna armatura";"mago";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+15";"+15";"+15"
"Nessuna armatura";"bardo";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Nessuna armatura";"animista";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15"
"Nessuna armatura";"ranger";"+10";"+10";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15"
"Nessuna armatura";"guerriero";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+20";"+20";"+20";"+20"
"Nessuna armatura";"scout";"+25";"+25";"+25";"+25";"+25";"+25";"+25";"+25";"+25";"+25";"+25"
"Cuoio grezzo";"mago";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35"
"Cuoio grezzo";"bardo";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35"
"Cuoio grezzo";"animista";"-5";"-5";"-5";"-5";"-5";"+0";"+5";"+5";"+5";"+5";"+5"
"Cuoio grezzo";"ranger";"-5";"-5";"+0";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Cuoio grezzo";"guerriero";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+5";"+10";"+10"
"Cuoio grezzo";"scout";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Cuoio rinforzato";"mago";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50"
"Cuoio rinforzato";"bardo";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50";"-50"
"Cuoio rinforzato";"animista";"-20";"-15";"-10";"-5";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Cuoio rinforzato";"ranger";"-10";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Cuoio rinforzato";"guerriero";"+0";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Cuoio rinforzato";"scout";"-10";"-5";"+0";"+5";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Corazza di maglia";"mago";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70"
