Tabella,Colpo maldestro,Risultato del tiro,descrizione,note
TTM-1,Armi da mischia,1,Perdi la presa. Nessun' altra azione nel round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,2,Perdi la presa. Nessun' altra azione nel round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,3,Perdi la presa. Nessun' altra azione nel round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,4,Perdi la presa. Nessun' altra azione nel round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,5,Perdi la presa. Nessun' altra azione nel round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,6,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,7,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,8,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,9,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,10,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,11,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,12,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,13,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,14,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,15,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,16,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,17,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,18,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,19,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,20,"Scivoli. Se stai impugnando un'arma a una mano non magica, questa si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,21,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,22,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,23,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,24,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,25,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,26,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,27,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,28,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,29,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,30,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,31,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,32,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
