id_abilita_primaria,categoria_abilita_primaria,tipo_abilita_primaria,tipo_abilita_primaria_sigla,nome_abilita_primaria,caratteristica_abilita_primaria,abilita_primaria_descrizione,abilita_primaria_bonus_valore_iniziale,abilita_primaria_bonus_calcolo
1,di manovra e movimento,Manovre in Movimento (MM),MM,Nessuna armatura,AG,"Quanto e come un Personaggio riesce spostarsi nel corso di un Round di gioco. Ovvero, quanta strada un Personaggio riesce a percorrere nel lasso di dieci secondi. Dipende dal tipo di armatura che esso indossa. ",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
2,di manovra e movimento,Manovre in Movimento (MM),MM,Cuoio grezzo,AG,"Quanto e come un Personaggio riesce spostarsi nel corso di un Round di gioco. Ovvero, quanta strada un Personaggio riesce a percorrere nel lasso di dieci secondi. Dipende dal tipo di armatura che esso indossa. ",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
3,di manovra e movimento,Manovre in Movimento (MM),MM,Cuoio rinforzato,AG,"Quanto e come un Personaggio riesce spostarsi nel corso di un Round di gioco. Ovvero, quanta strada un Personaggio riesce a percorrere nel lasso di dieci secondi. Dipende dal tipo di armatura che esso indossa. ",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
4,di manovra e movimento,Manovre in Movimento (MM),MM,Corazza di maglia,FR,"Quanto e come un Personaggio riesce spostarsi nel corso di un Round di gioco. Ovvero, quanta strada un Personaggio riesce a percorrere nel lasso di dieci secondi. Dipende dal tipo di armatura che esso indossa. ",bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
5,di manovra e movimento,Manovre in Movimento (MM),MM,Corazza di piastre,FR,"Quanto e come un Personaggio riesce spostarsi nel corso di un Round di gioco. Ovvero, quanta strada un Personaggio riesce a percorrere nel lasso di dieci secondi. Dipende dal tipo di armatura che esso indossa. ",bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
6,con le armi,Bonus Offensivi (BO),BO,Taglio a 1 mano,FR,Capacità di combattere con un tipo specifico di arma.,bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
7,con le armi,Bonus Offensivi (BO),BO,Contundenti a 1 mano,FR,,bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
8,con le armi,Bonus Offensivi (BO),BO,A 2 mani,FR,,bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
9,con le armi,Bonus Offensivi (BO),BO,Da tiro,AG,,bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
10,con le armi,Bonus Offensivi (BO),BO,Da lancio,AG,,bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
11,con le armi,Bonus Offensivi (BO),BO,Con asta,FR,,bonus FR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
