tipo_lista,nome_lista,livello,nome_incantesimo,tipo_incantesimo,preparazione_incantesimo,descrizione_incantesimo
Liste aperte Essenza,SVILUPPO FISICO,1,resistenza al calore,Accessori,sì,"Il bersaglio è totalmente protetto da tutte le forme di calore naturale, fino a 100° (Ad es. acqua bollente). Aggiunge +10 ai TR contro incantesimi di calore, ed una penalità di -10 agli incantesimi elementali di calore ed agli attacchi con incantesimidi fuoco."
Liste aperte Essenza,SVILUPPO FISICO,2,resistenza al freddo,Accessori,sì,"Come il precedente, ma protegge dal freddo naturale, fino a -35°C ed infligge, una penalità di -10 agli incantesimi basati sul freddo."
Liste aperte Essenza,SVILUPPO FISICO,3,iperudito,Accessori,sì,Raddoppia l'efficacia dell'udito del soggetto.
Liste aperte Essenza,SVILUPPO FISICO,4,equilibrio,Accessori,Istantaneo,Aggiunge +50 ai tiri per una manovra lenta (es: camminare su un'asse larga 8. cm).
Liste aperte Essenza,SVILUPPO FISICO,5,infravisione,Accessori,sì,"Il bersaglio può vedere fino a 33 m nelle tenebre (es: di notte o in una stanza buia), come fosse giorno. Le tenebre evocate magicamente riducono l'efficacia dell'incantesimo."
Liste aperte Essenza,SVILUPPO FISICO,6,panvisione,Accessori,sì,"Il campo visivo del bersaglio si amplia fino a 300°. Può vedere tutto intorno, tranne nei 60° alle sue spalle."
Liste aperte Essenza,SVILUPPO FISICO,7,potenza vocale,Accessori,sì,Triplica l'intensità sonora della voce del soggetto. Ciò non ha alcun effetto sul lancio degli incantesimi.
Liste aperte Essenza,SVILUPPO FISICO,8,idrovisione,Accessori,sì,"Come Infravisione eccetto che il bersaglio può vedere nell'acqua, anche se torbida, fino a 33 metri di distanza."
Liste aperte Essenza,SVILUPPO FISICO,9,idropneumia,Accessori,sì,"Il soggetto può respirare sott'acqua ma perde la capacita di respirare aria (se resta esposto all'aria, sviene ma non muore soffocato)."
Liste aperte Essenza,SVILUPPO FISICO,10,aeropneumia,Accessori,sì,"Come Idropneumia, eccetto che il soggetto può respirare qualsiasi gas come se fosse aria pura."
Liste aperte Essenza,MANIPOLAZIONE,1,vibrazioni,Forza,sì,"Fa vibrare rapidamente un oggetto (fino a 2,5 Kg. di peso); se si tratta di un oggetto fragile, può rompersi (eseguite un TR). Se è un oggetto impugnato da qualcuno, chi lo tiene in mano deve effettuare (ogni round) un TR. Se fallisce, l'oggetto gli cade di mano."
Liste aperte Essenza,MANIPOLAZIONE,2,scudo,Forza,istantaneo,"Crea un campo di forza invisibile davanti al mago. Sottrae 25 punti agli attacchi in mischia e agli attacchi a distanza. In pratica, questo incantesimo crea un vero e proprio scudo magico che il personaggio potrà impugnare se non ne sta già usando un altro."
Liste aperte Essenza,MANIPOLAZIONE,3,pressione,Forza,sì,"Esercita 2,5 Kg. di pressione su una persona o un oggetto. L'incantesimo non può essere usato per spostare un oggetto, ma per immobilizzarlo se si tratta di un oggetto inanimato; la pressione può essere esercitata in una sola direzione."
