tipo_lista,nome_lista
Lista Aperta Essenza,Sviluppo fisico
Lista Aperta Essenza,Manipolazione
Lista Aperta Essenza,Illusioni
Lista Aperta Essenza,Formule di passaggio
Lista Aperta Essenza,Formule d'incantesimo
Lista Aperta Essenza,Formule dell'essenza
Lista Aperta Essenza,Controllo spirituale
Lista Aperta Essenza,Percezione dell'essenza
Maghi Maghi,Geomanzia
Maghi Maghi,Criomanzia
Maghi Maghi,Fotomanzia
Maghi Maghi,Piromanzia
Maghi Maghi,Ponte arcano
Maghi Maghi,Idromanzia
Maghi Maghi,Adattamento
Maghi Maghi,Aeromanzia
Bardi Bardi,Canti del potere
Bardi Bardi,Conoscenza
Bardi Bardi,Sapienza
Bardi Bardi,Controllo sonico
Ranger Ranger,Topomanzia
Ranger Ranger,Formule di movimento
Ranger Ranger,Aspetti naturali
Ranger Ranger,Arti naturali
Lista Aperta Flusso,Indagine
Lista Aperta Flusso,Formule sensorie
Lista Aperta Flusso,Pacificazione
Lista Aperta Flusso,Arti della guarigione
Lista Aperta Flusso,Protezioni
Lista Aperta Flusso,Difesa magica
Lista Aperta Flusso,Moti naturali
Lista Aperta Flusso,Ecomanzia
Animisti Animisti,Botanomanzia
Animisti Animisti,Flusso diretto
Animisti Animisti,Controllo animale
Animisti Animisti,Fisiorigenerazione
Animisti Animisti,Emorigenerazione
Animisti Animisti,Rigenerazione organica
Animisti Animisti,Purificazioni
Animisti Animisti,Creazioni
