profession_id,skill_category,cost
warrior,movement_maneuvers,3
scout,movement_maneuvers,1
ranger,movement_maneuvers,2
bard,movement_maneuvers,1
mage,movement_maneuvers,0
animist,movement_maneuvers,1
warrior,weapons_skills,5
scout,weapons_skills,3
ranger,weapons_skills,3
bard,weapons_skills,2
mage,weapons_skills,0
animist,weapons_skills,1
warrior,general_skills,2
scout,general_skills,3
ranger,general_skills,4
bard,general_skills,2
mage,general_skills,2
animist,general_skills,2
warrior,subterfuge_skills,2
scout,subterfuge_skills,5
ranger,subterfuge_skills,2
bard,subterfuge_skills,2
mage,subterfuge_skills,0
animist,subterfuge_skills,1
warrior,magic_skills,0
scout,magic_skills,0
ranger,magic_skills,0
bard,magic_skills,2
mage,magic_skills,5
animist,magic_skills,2
warrior,physical_resistance,3
scout,physical_resistance,2
ranger,physical_resistance,2
bard,physical_resistance,1
mage,physical_resistance,1
animist,physical_resistance,1
warrior,languages,0
scout,languages,1
ranger,languages,1
bard,languages,3
mage,languages,2
animist,languages,2
warrior,spell_lists,0
scout,spell_lists,0
ranger,spell_lists,1
bard,spell_lists,2
mage,spell_lists,5
animist,spell_lists,5
