race_id,skill_id,ranks
dwarves,no_armor,1
umli,no_armor,1
noldor_elves,no_armor,1
sindar_elves,no_armor,1
sylvan_elves,no_armor,1
half_elves,no_armor,1
hobbits,no_armor,1
beornings,no_armor,1
black_numenoreans,no_armor,1
corsairs,no_armor,1
dorwinrim,no_armor,1
dunedain,no_armor,1
dunlendings,no_armor,1
easterlings,no_armor,1
haradrim,no_armor,1
lossoth,no_armor,1
rohirrim_urban_men,no_armor,1
rohirrim_rural_men,no_armor,1
eriadorian_urban_men,no_armor,1
eriadorian_rural_men,no_armor,1
gondorian_urban_men,no_armor,1
gondorian_rural_men,no_armor,1
variags,no_armor,1
woodmen,no_armor,1
woses,no_armor,1
orcs,no_armor,1
uruk_hai,no_armor,1
half_orcs,no_armor,1
trolls,no_armor,1
olog_hai,no_armor,1
half_trolls,no_armor,1
umli,soft_leather,3
haradrim,soft_leather,1
lossoth,soft_leather,3
eriadorian_urban_men,soft_leather,1
eriadorian_rural_men,soft_leather,1
variags,soft_leather,1
woodmen,soft_leather,1
woses,soft_leather,3
orcs,soft_leather,1
uruk_hai,soft_leather,1
half_orcs,soft_leather,1
half_trolls,soft_leather,1
dwarves,rigid_leather,1
umli,rigid_leather,3
half_elves,rigid_leather,1
corsairs,rigid_leather,2
dorwinrim,rigid_leather,1
dunedain,rigid_leather,1
dunlendings,rigid_leather,1
rohirrim_urban_men,rigid_leather,1
rohirrim_rural_men,rigid_leather,1
eriadorian_urban_men,rigid_leather,1
eriadorian_rural_men,rigid_leather,1
orcs,rigid_leather,3
uruk_hai,rigid_leather,3
half_orcs,rigid_leather,3
half_trolls,rigid_leather,2
dwarves,chain_mail,3
half_elves,chain_mail,1
black_numenoreans,chain_mail,2
dunedain,chain_mail,2
rohirrim_urban_men,chain_mail,2
rohirrim_rural_men,chain_mail,2
eriadorian_urban_men,chain_mail,1
eriadorian_rural_men,chain_mail,1
orcs,chain_mail,2
uruk_hai,chain_mail,3
half_orcs,chain_mail,1
half_trolls,chain_mail,2
noldor_elves,one_handed_edged,1
sindar_elves,one_handed_edged,1
sylvan_elves,one_handed_edged,1
half_elves,one_handed_edged,1
black_numenoreans,one_handed_edged,1
corsairs,one_handed_edged,2
dunedain,one_handed_edged,2
easterlings,one_handed_edged,1
haradrim,one_handed_edged,1
rohirrim_urban_men,one_handed_edged,2
rohirrim_rural_men,one_handed_edged,2
eriadorian_urban_men,one_handed_edged,1
eriadorian_rural_men,one_handed_edged,1
gondorian_urban_men,one_handed_edged,1
gondorian_rural_men,one_handed_edged,1
variags,one_handed_edged,2
woodmen,one_handed_edged,1
woses,one_handed_edged,2
uruk_hai,one_handed_edged,4
dwarves,one_handed_crushing,4
umli,one_handed_crushing,3
dorwinrim,one_handed_crushing,1
dunlendings,one_handed_crushing,1
orcs,one_handed_crushing,3
uruk_hai,one_handed_crushing,1
half_orcs,one_handed_crushing,3
umli,two_handed,1
beornings,two_handed,1
dunedain,two_handed,1
uruk_hai,two_handed,1
trolls,two_handed,3
olog_hai,two_handed,5
half_trolls,two_handed,4
dwarves,thrown,1
umli,thrown,1
hobbits,thrown,2
beornings,thrown,1
black_numenoreans,thrown,1
corsairs,thrown,1
dorwinrim,thrown,1
dunlendings,thrown,2
easterlings,thrown,1
haradrim,thrown,1
lossoth,thrown,3
eriadorian_urban_men,thrown,1
eriadorian_rural_men,thrown,1
variags,thrown,1
woodmen,thrown,1
woses,thrown,4
orcs,thrown,1
uruk_hai,thrown,1
half_orcs,thrown,1
trolls,thrown,1
olog_hai,thrown,2
half_trolls,thrown,2
noldor_elves,missile,1
sindar_elves,missile,2
sylvan_elves,missile,3
half_elves,missile,2
hobbits,missile,2
black_numenoreans,missile,1
corsairs,missile,1
dorwinrim,missile,1
dunedain,missile,1
dunlendings,missile,1
easterlings,missile,2
rohirrim_urban_men,missile,1
rohirrim_rural_men,missile,1
eriadorian_urban_men,missile,1
eriadorian_rural_men,missile,1
gondorian_urban_men,missile,1
gondorian_rural_men,missile,1
variags,missile,1
woodmen,missile,1
uruk_hai,missile,1
half_orcs,missile,1
beornings,polearm,2
dorwinrim,polearm,1
dunedain,polearm,1
dunlendings,polearm,2
easterlings,polearm,2
haradrim,polearm,2
lossoth,polearm,2
rohirrim_urban_men,polearm,1
rohirrim_rural_men,polearm,1
eriadorian_urban_men,polearm,1
eriadorian_rural_men,polearm,1
variags,polearm,1
woodmen,polearm,1
woses,polearm,1
orcs,polearm,1
uruk_hai,polearm,1
dwarves,climbing,1
sindar_elves,climbing,1
sylvan_elves,climbing,2
half_elves,climbing,1
hobbits,climbing,2
beornings,climbing,2
dunlendings,climbing,5
woodmen,climbing,3
woses,climbing,3
orcs,climbing,1
uruk_hai,climbing,1
half_orcs,climbing,1
trolls,climbing,1
olog_hai,climbing,1
half_trolls,climbing,1
noldor_elves,riding,1
sindar_elves,riding,1
sylvan_elves,riding,1
half_elves,riding,1
black_numenoreans,riding,1
dorwinrim,riding,2
dunedain,riding,1
easterlings,riding,5
haradrim,riding,7
rohirrim_urban_men,riding,8
rohirrim_rural_men,riding,8
eriadorian_urban_men,riding,1
eriadorian_rural_men,riding,1
variags,riding,4
uruk_hai,riding,1
umli,swimming,1
noldor_elves,swimming,2
sindar_elves,swimming,2
sylvan_elves,swimming,3
half_elves,swimming,1
beornings,swimming,2
black_numenoreans,swimming,3
corsairs,swimming,5
dorwinrim,swimming,1
dunedain,swimming,1
dunlendings,swimming,1
lossoth,swimming,2
rohirrim_urban_men,swimming,1
rohirrim_rural_men,swimming,1
eriadorian_urban_men,swimming,1
eriadorian_rural_men,swimming,1
gondorian_urban_men,swimming,1
gondorian_rural_men,swimming,1
woodmen,swimming,1
woses,swimming,2
woses,ambush,2
orcs,ambush,1
uruk_hai,ambush,1
half_orcs,ambush,1
umli,hiding,1
umli,stalking,1
noldor_elves,hiding,2
noldor_elves,stalking,2
sindar_elves,hiding,3
sindar_elves,stalking,3
sylvan_elves,hiding,4
sylvan_elves,stalking,4
half_elves,hiding,2
half_elves,stalking,2
hobbits,hiding,5
hobbits,stalking,5
beornings,hiding,4
beornings,stalking,4
dunlendings,hiding,2
dunlendings,stalking,2
lossoth,hiding,4
lossoth,stalking,4
eriadorian_urban_men,hiding,1
eriadorian_urban_men,stalking,1
eriadorian_rural_men,hiding,1
eriadorian_rural_men,stalking,1
variags,hiding,1
variags,stalking,1
woodmen,hiding,4
woodmen,stalking,4
woses,hiding,4
woses,stalking,4
dwarves,pick_locks,1
hobbits,pick_locks,1
dwarves,disarm_traps,1
hobbits,disarm_traps,1
noldor_elves,read_runes,2
sindar_elves,read_runes,1
sylvan_elves,read_runes,1
half_elves,read_runes,1
black_numenoreans,read_runes,1
dunedain,read_runes,1
gondorian_urban_men,read_runes,1
gondorian_rural_men,read_runes,1
noldor_elves,use_items,1
sindar_elves,use_items,1
black_numenoreans,use_items,1
dunedain,use_items,1
gondorian_urban_men,use_items,1
gondorian_rural_men,use_items,1
dwarves,body_development,3
umli,body_development,2
noldor_elves,body_development,1
sindar_elves,body_development,1
sylvan_elves,body_development,1
half_elves,body_development,1
hobbits,body_development,2
beornings,body_development,3
black_numenoreans,body_development,2
corsairs,body_development,2
dorwinrim,body_development,1
dunedain,body_development,3
dunlendings,body_development,3
easterlings,body_development,2
haradrim,body_development,2
lossoth,body_development,3
rohirrim_urban_men,body_development,2
rohirrim_rural_men,body_development,2
eriadorian_urban_men,body_development,2
eriadorian_rural_men,body_development,2
gondorian_urban_men,body_development,1
gondorian_rural_men,body_development,1
variags,body_development,2
woodmen,body_development,2
woses,body_development,3
orcs,body_development,2
uruk_hai,body_development,3
half_orcs,body_development,2
trolls,body_development,5
olog_hai,body_development,5
half_trolls,body_development,4
dwarves,perception,2
umli,perception,1
noldor_elves,perception,3
sindar_elves,perception,3
sylvan_elves,perception,3
half_elves,perception,1
hobbits,perception,4
beornings,perception,1
dunlendings,perception,1
easterlings,perception,1
haradrim,perception,1
lossoth,perception,1
rohirrim_urban_men,perception,1
rohirrim_rural_men,perception,1
eriadorian_urban_men,perception,1
eriadorian_rural_men,perception,1
gondorian_urban_men,perception,1
gondorian_rural_men,perception,1
variags,perception,1
woodmen,perception,1
woses,perception,1
uruk_hai,perception,1
olog_hai,perception,1
