id,name_it,name_en,category,type,associated_stat,is_primary,description_it,description_en
no_armor,Nessuna armatura,No Armor,movement_maneuvers,MM,AG,true,Abilità di MERP: nessuna armatura.,
soft_leather,Cuoio grezzo,Soft Leather,movement_maneuvers,MM,AG,true,Abilità di MERP: cuoio grezzo.,
rigid_leather,Cuoio rinforzato,Rigid Leather,movement_maneuvers,MM,AG,true,Abilità di MERP: cuoio rinforzato.,
chain_mail,Corazza di maglia,Chain Mail,movement_maneuvers,MM,FR,true,Abilità di MERP: corazza di maglia.,
plate_mail,Corazza di piastre,Plate Mail,movement_maneuvers,MM,FR,true,Abilità di MERP: corazza di piastre.,
one_handed_edged,Taglio a 1 mano,1-Handed Edged,weapons_skills,BO,FR,true,Abilità di MERP: taglio a 1 mano.,
one_handed_crushing,Contundenti a 1 mano,1-Handed Crushing,weapons_skills,BO,FR,true,Abilità di MERP: contundenti a 1 mano.,
two_handed,A 2 mani,Two-Handed,weapons_skills,BO,FR,true,Abilità di MERP: a 2 mani.,
missile,Da tiro,Missile,weapons_skills,BO,AG,true,Abilità di MERP: da tiro.,
thrown,Da lancio,Thrown,weapons_skills,BO,AG,true,Abilità di MERP: da lancio.,
polearm,Con asta,Polearm,weapons_skills,BO,FR,true,Abilità di MERP: con asta.,
climbing,Arrampicarsi,Climbing,general_skills,MM,AG,true,Abilità di MERP: arrampicarsi.,
riding,Cavalcare,Riding,general_skills,MM,IT,true,Abilità di MERP: cavalcare.,
swimming,Nuotare,Swimming,general_skills,MM,AG,true,Abilità di MERP: nuotare.,
tracking,Seguire tracce,Tracking,general_skills,MS,IN,true,Abilità di MERP: seguire tracce.,
ambush,Cogliere alle spalle,Ambush,subterfuge_skills,AS,,true,Abilità di MERP: cogliere alle spalle.,
hiding,Nascondersi,Hiding,subterfuge_skills,MS,PR,true,Abilità di MERP: nascondersi.,
stalking,Muoversi silenziosamente,Stalking,subterfuge_skills,MM,PR,true,Abilità di MERP: muoversi silenziosamente.,
pick_locks,Scassinare,Pick Locks,subterfuge_skills,MS,IN,true,Abilità di MERP: scassinare.,
disarm_traps,Disattivare trappole,Disarm Traps,subterfuge_skills,MS,IT,true,Abilità di MERP: disattivare trappole.,
read_runes,Lettura rune,Read Runes,magic_skills,AS,IN,true,Abilità di MERP: lettura rune.,
use_items,Uso oggetti magici,Use Items,magic_skills,AS,IT,true,Abilità di MERP: uso oggetti magici.,
directed_spells,Incantesimi diretti,Directed Spells,magic_skills,BO,AG,true,Abilità di MERP: incantesimi diretti.,
perception,Percezione,Perception,general_skills,MS,IT,true,Abilità di MERP: percezione.,
body_development,Resistenza fisica,Body Development,physical_resistance,AS,CO,true,Abilità di MERP: resistenza fisica.,
base_spells,Incantesimi base,Base Spells,magic_skills,BO,AG,true,Abilità di MERP: incantesimi base.,
leadership,Leadership e influenza,Leadership,general_skills,AS,PR,true,Abilità di MERP: leadership e influenza.,
acrobatics,Acrobazia,Acrobatics,general_skills,MM,AG,false,Abilità di MERP: acrobazia.,
astronomy,Astronomia,Astronomy,general_skills,MS,IN,false,Abilità di MERP: astronomia.,
tanning,Conciare,Tanning,general_skills,MS,IT,false,Abilità di MERP: conciare.,
contortionism,Contorsionismo,Contortionism,general_skills,MS,AG,false,Abilità di MERP: contorsionismo.,
fletching,Costruire frecce,Fletching,general_skills,MS,AG,false,Abilità di MERP: costruire frecce.,
trap_building,Costruzione trappole,Trap Building,general_skills,MS,IT,false,Abilità di MERP: costruzione trappole.,
cooking,Cucinare,Cooking,general_skills,MS,IT,false,Abilità di MERP: cucinare.,
dancing,Danza,Dancing,general_skills,MS,AG,false,Abilità di MERP: danza.,
sleight_of_hand,Destrezza,Sleight of Hand,general_skills,MS,AG,false,Abilità di MERP: destrezza.,
smithing,Forgiare,Smithing,general_skills,MS,FR,false,Abilità di MERP: forgiare.,
gambling,Giocare d'azzardo,Gambling,general_skills,MS,IT,false,Abilità di MERP: giocare d'azzardo.,
woodcarving,Intagliare,Woodcarving,general_skills,MS,AG,false,Abilità di MERP: intagliare.,
meditation,Meditazione,Meditation,general_skills,MS,IN,false,Abilità di MERP: meditazione.,
music,Musica,Music,general_skills,MS,PR,false,Abilità di MERP: musica.,
navigation,Navigare,Navigation,general_skills,MS,IN,false,Abilità di MERP: navigare.,
public_speaking,Oratoria,Public Speaking,general_skills,MS,PR,false,Abilità di MERP: oratoria.,
herding,Pastorizia,Herding,general_skills,MS,IT,false,Abilità di MERP: pastorizia.,
weather_watching,Prevedere il tempo,Weather Watching,general_skills,MS,IN,false,Abilità di MERP: prevedere il tempo.,
foraging,Procurarsi cibo,Foraging,general_skills,MS,IT,false,Abilità di MERP: procurarsi cibo.,
rowing,Remare,Rowing,general_skills,MS,AG,false,Abilità di MERP: remare.,
skiing,Sciare,Skiing,general_skills,MS,AG,false,Abilità di MERP: sciare.,
signaling,Segnalazione,Signaling,general_skills,MS,IN,false,Abilità di MERP: segnalazione.,
caving,Speleologia,Caving,general_skills,MS,IT,false,Abilità di MERP: speleologia.,
disguise,Travestimento,Disguise,general_skills,MS,PR,false,Abilità di MERP: travestimento.,
diving,Tuffarsi,Diving,general_skills,MS,AG,false,Abilità di MERP: tuffarsi.,
rope_use,Uso funi,Rope Use,general_skills,MS,AG,false,Abilità di MERP: uso funi.,
tumbling,Volteggiare,Tumbling,general_skills,MM,AG,false,Abilità di MERP: volteggiare.,
