"tipo_lista";"nome_lista";"numero";"nome_incantesimo";"tipologia";"descrizione";"note_lista"
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"1";"CORSA";"F*";"Il soggetto può correre (cioè, procedere a velocità doppia) senza stancarsi. L ' incantesimo svanisce quando il soggetto si ferma o intraprende un'altra & VELOCITÀ I (F*): Il soggetto può agire a ritmo doppio (cioè, eseguire il 200% delle normali attività). Subito opo, pero, perunnumerodiroundpari alla durat. ell' incantesimo, il suoritmod ' azioneèdimezzat (esegue cioè, solo il 50% delle normali attività).";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"2";"VELOCITÀ I";"F*";"Il soggetto può agire a ritmo doppio (cioè, eseguire il 200% delle normali attività). Subito dopo, però, per un numero di round pari alla durata dell'incantesimo, il suo ritmo d'azione è dimezzato (esegue cioè, solo il 50% delle normali attività).";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"3";"CONTROLLO DIMENSIONI";"F";"Il mago può ridurre la sua propria mole fino alla metà (in genere riducendo altezza), mantenendo inalterata la forza; oppure raddoppiare la mole, sempre senza aumento di forza, ma raddoppiando di conseguenza la capacità di movimento";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"4";"SCATTO";"F*";"Come Corsa, ma la velocità di movimento è triplicata.";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"5";"TRASFORMAZIONE";"F";"Il mago può trasformare il soggetto in una qualsiasi specie di umanoide. La massa del soggetto non può variare di più del 10%.";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"6";"RAPIDITA I";"F*";"Come Velocità I, ma al termine dei round ""velocizzati"" il soggetto ritorna direttamente alla sua normale velocità, senza rounda ritmo rallentat o..";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"7";"VELOCITÀ III";"F*";"Come Velocità I, ma la durata è di tre round per un soggetto, oppure due round per un soggetto ed un round per un altro oppure ogni altra combinazione, per un totale di tre round di!! velocizzazione.";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"8";"SLANCIO";"F*";"Come Corsa, ma la velocità di movimento è quadruplicata";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"9";"ALTERA DIMENSIONI";"F";"Come Controllo Dimensione, permette a chi lancia l'incantesimo di alterare Idimensioni di un essere vivente. La trasformazione non può essere maggiore del 10% della massa di chi lancia l'incantesimo per ogni suo livello e inoltre può essere lanciato su ogni materia che sia, o sia stata, vivente (es; cuoio).";""
"Liste di incantesimi dei Maghi";"ADATTAMENTO";"10";"RAPIDITÀ III";"F*";"Come Velocità III, ma ai round ""velocizzati"" non devono seguire rounda ritmo dimezzato.";""
